ticker,sector,aliases
AADI,BATUBARA,AADI|Adaro Andalan|Adaro Andalan Indonesia
AALI,PANGAN,AALI|Astra Agro|Astra Agro Lestari
ABBA,PENERBITAN,ABBA|Mahaka Media
ABDA,ASURANSI,ABDA|Asuransi Bina|Asuransi Bina Dana Arta
ABMM,BATUBARA,ABMM|Abm Investama
ACES,RUMAHTANGGA,ACES|Ace Hardware|Ace Hardware Indonesia
ACRO,TEKSTIL,ACRO|Samcro Hyosung|Samcro Hyosung Adilestari
ACST,KONSTRUKSI,ACST|Acset Indonusa
ADCP,REALESTATE,ADCP|Adhi Commuter|Adhi Commuter Properti
ADES,MINUMAN,ADES|Akasha Wira|Akasha Wira International
ADHI,KONSTRUKSI,ADHI|Adhi Karya
ADMF,PEMBIAYAAN,ADMF|Adira Dinamika|Adira Dinamika Multi Finance
ADMG,KIMIA,ADMG|Polychem Indonesia
ADMR,BATUBARA,ADMR|Adaro Minerals|Adaro Minerals Indonesia
ADRO,BATUBARA,ADRO|Adaro Energi|Adaro Energi Indonesia
AEGS,OTOMOTIF,AEGS|Anugerah Spareparts|Anugerah Spareparts Sejahtera
AGAR,BUDIDAYA,AGAR|Asia Sejahtera|Asia Sejahtera Mina
AGII,KIMIA,AGII|Aneka Gas|Aneka Gas Industri
AGRO,BANK,AGRO|Bank Raya|Bank Raya Indonesia
AGRS,BANK,AGRS|Bank Ibk|Bank Ibk Indonesia
AHAP,ASURANSI,AHAP|Asuransi Harta|Asuransi Harta Aman Pratama
AIMS,BATUBARA,AIMS|Akbar Indo|Akbar Indo Makmur Stimec
AISA,MAKANAN,AISA|Fks Food|Fks Food Sejahtera
AKKU,HOTEL,AKKU|Anugerah Kagum|Anugerah Kagum Karya Utama
AKPI,KIMIA,AKPI|Argha Karya|Argha Karya Prima Industry
AKRA,TAMBANG,AKRA|Akr Corporindo
AKSI,LOGISTIK,AKSI|Mineral Sumberdaya|Mineral Sumberdaya Mandiri
ALDO,PLASTIK,ALDO|Alkindo Naratama
ALII,BATUBARA,ALII|Ancara Logistics|Ancara Logistics Indonesia
ALKA,LOGAM,ALKA|Alakasa Industrindo
